seg1,seg2,label,contradiction type,issues?
I had a friend who worked at starbucks as a barista - he made a lot of coffee drinks,then which u made it.,self-contradiction,N-a,Missing Context
"My entire life pretty much. My parents, like you, always wanted to live a moral and healthy life while having fun at the same time",My parents would agree with you.,self-contradiction,N-a,not really a contradiction
"Fortunately, i do not have any. A friend of mine had allergies to cats, and he had aversion for them",I was wondering how I got this hypersensitivity of body sweat. Trying to figure out ,self-contradiction,factive,Missing Context
i'm just getting ready to practice my skiing . what are u doing,now i am not much like practice to skiing ,self-contradiction,negation,
How fun! I hope you have a great time!,I don't like crowded places like disneyworld.,self-contradiction,negation,Missing Context
no cats but my daughter is almost 8 and loves my little pony !,My daughter isn't into MLP,self-contradiction,negation,
Yes ! Pepperoni is my fave. its a classic,"Cheese pizza is my favorite, way better with no meat",self-contradiction,lexical,
"Yeah I shop online a lot at christmas and for gifts, but locally for groceries.",I won't do any buying online.,self-contradiction,negation,
So where are you spending your nights? Are there any homeless shelters provided by the social services?,I am happy to hear that!,self-contradiction,N-a,not really a contradiction
"haha , we have something in common . do you have twins ? there are some in my family",That's awesome.Sadly we have none in my family.,self-contradiction,negation,Missing Context
That's great! We've been married for almost 10 years and I still feel like a newlywed. It's great when you marry your best friend.,I guess so. I've never been married so I'm not really sure how that all works.,self-contradiction,factive,
i like country line dancing if that counts as sports and a hobby . you ?,Well I'm glad you enjoy it but going out to any kind of dance is not my idea of fun!,self-contradiction,lexical,
yum ! you should go to nyc they have a great ice cream place there .,how about whether,self-contradiction,N-a,Missing Context
I work at the bank,I am unemployed.,self-contradiction,lexical,
"It's a brand new dodge, I bought it after my fourth divorce, but before I got married again.",Did you have to live in it at all after the divorce? I ended up living in the bar I own in Chacago for a while after one divorce.,self-contradiction,numeric,
I think they are tons of fun!,They make me sick as well and I hate riding on them. ,self-contradiction,negation,Missing Context
I feel ya. How long will they be gone for?,i really can't relate. i have no family and don't understand the concept of love.,self-contradiction,negation,
True everything is nice in bits. Too much of anything does get tiring.,"That's crazy, you can never have too much of a good thing.",self-contradiction,negation,
"interesting , reminds me of life at home with my four daughters , never a dull moment",that is why I've never had kids,self-contradiction,factive,
i remember those . i am retired . i am sitting back enjoying my cheese burger .,Yes I make a decent salary at my job.,self-contradiction,factive,
i'm about to go fishing . i like to fish . any hobbies ?,I might not go fishing again.,self-contradiction,negation,
These days I've got my mind to the horizon of my dreams...because my feet are always taking giant leaps and landing where I need them to,"I have no goals, I don't know where I'm going.",self-contradiction,negation,
Oh really? What makes you say that,"So why tell me, i dont care to know?",self-contradiction,lexical,
"Yes, they are slow growing but apparently people believe the meat has a good flavor. :(","No, the belly was small and it's meat has a bad flavor :)",self-contradiction,negation,
I think that's a good idea to combine with cutting back on calories if you want to lose weight.,It tells a more about eating junk foods and the impact of the same.,self-contradiction,N-a,Missing Context
thank goodness i stay active because i eat terribly . regardless i stay skinny .,Im not a big fan of chocolate or anything unhealthy! I like fresh vegetables and fruits with limited lean meats.,self-contradiction,lexical,
"Indeed I am, at it a couple of years now. I split my time between that and watching old movies during my down time.",Neither would I honestly. I've never done any medical training.,self-contradiction,N-a,Missing Context
You and me both! Nothing wrong with making some more bread!,I don't think money is that important when you're looking for job.,self-contradiction,lexical,
That is definitely true.  I need to drink coffee all day every day just to keep up.  How many kids do you have?,"Oh, I hate coffee. Never touch the stuff.",self-contradiction,lexical,
It seems very hard so it must require a lot of skill. How long have you been whittling? ,"Seems pretty easy like you don't need any talent to do it, if you ask me.",self-contradiction,lexical,
cool . i gravitate toward concert t shirts myself .,I do not like any music nor bands,self-contradiction,lexical,
i try. sometimes i can't help it and i have to and goodness it was awful,"yep, but mostly I go to bathrooms at work itself cause its convenient.",self-contradiction,N-a,Missing Context
"Thats very true. As they say there are no right or wrong ways to reading, just flow along and interpret the way you understand",Yeah but reading has its own proper ways that affect your brain to expand.,self-contradiction,N-a,Missing Context
"Cats are very fun, sometimes",I agree with him. Cats are no fun at all compared to dogs.,self-contradiction,negation,
"Oh a German renaissance painter! I like abstract works, personally.",Abstract works are not things that I like actually so I don't have any.,self-contradiction,negation,
That's a great suggestion. Professional help might be the only way from me printing out divorce papers in the future.,I think professional help is not the right way also i hate counselling,self-contradiction,negation,
I've actually haven't played that series. When does it come out?,I  might have to check it out when it comes out. I think I remember playing the very first one when it came out.,self-contradiction,negation,
"must be a busy task , do you find time for yourself ?","it should be a simple take, i am sure you have a lot of time to yourself",self-contradiction,antonymy,
"Bolognese sauce is a meat based sauce. That one tastes very good, you should definitely have that too.","Don't, it tastes really bad.",self-contradiction,negation,Missing Context
